Date,Time (HH:mm:ss),Time (Fract. Sec),Site Name,Cond µS/cm,Depth m,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,ORP mV,Pressure psi a,Sal psu,SpCond µS/cm,TDS mg/L,pH,pH mV,Temp °C,Vertical Position m,Battery V,Cable Pwr V,Corrected sp Cond [µS/cm],Depth from GL (m)
8/22/2023,12:50:54,0.0,BW5,1965.4,-0.017,1800.4,59.6,59.6,4.54,63.0,-0.024,0.91,1816.7,1181,7.56,-46.3,29.286,-0.015,2.73,1.2,1765.7,0.205
8/22/2023,12:50:54,0.25,BW5,1965.2,-0.017,1800.3,59.0,59.0,4.49,63.2,-0.024,0.91,1816.6,1181,7.55,-45.8,29.282,-0.012,2.73,1.2,1765.6,0.208
8/22/2023,12:50:54,0.5,BW5,1965.0,-0.017,1800.1,57.9,57.9,4.41,63.3,-0.024,0.91,1816.4,1181,7.55,-45.8,29.281,-0.003,2.73,1.2,1765.4,0.217
8/22/2023,12:50:54,0.75,BW5,1964.4,-0.017,1799.6,56.8,56.8,4.32,63.4,-0.024,0.91,1815.9,1180,7.55,-45.7,29.282,-0.001,2.73,1.2,1764.9,0.219
8/22/2023,12:50:55,0.0,BW5,1963.8,-0.017,1799.0,55.7,55.7,4.24,63.7,-0.023,0.91,1815.3,1180,7.55,-45.5,29.284,0.001,2.74,1.2,1764.3,0.221
8/22/2023,12:50:55,0.25,BW5,1963.2,-0.016,1798.3,54.6,54.6,4.16,63.8,-0.023,0.91,1814.7,1180,7.55,-45.3,29.289,0.009,2.74,1.2,1763.7,0.229
8/22/2023,12:50:55,0.5,BW5,1963.0,-0.016,1797.9,53.6,53.6,4.09,63.9,-0.023,0.91,1814.3,1179,7.54,-45.0,29.292,0.014,2.74,1.2,1763.3,0.234
8/22/2023,12:50:55,0.75,BW5,1963.2,-0.016,1797.9,52.8,52.8,4.02,64.0,-0.023,0.91,1814.2,1179,7.53,-44.5,29.299,0.019,2.74,1.2,1763.2,0.239
8/22/2023,12:50:56,0.0,BW5,1963.5,-0.015,1798.0,52.8,52.8,4.02,64.1,-0.022,0.91,1814.4,1179,7.53,-44.3,29.303,0.032,2.74,1.2,1763.4,0.252
8/22/2023,12:50:56,0.25,BW5,1963.9,-0.015,1798.2,52.7,52.7,4.01,64.2,-0.021,0.91,1814.6,1180,7.53,-44.1,29.306,0.038,2.74,1.2,1763.6,0.258
8/22/2023,12:50:56,0.5,BW5,1964.5,-0.015,1798.6,52.3,52.3,3.98,64.2,-0.021,0.91,1815.0,1180,7.52,-43.7,29.31,0.043,2.74,1.2,1764.0,0.263
8/22/2023,12:50:56,0.75,BW5,1965.1,-0.014,1799.1,51.9,51.9,3.95,64.3,-0.02,0.91,1815.6,1180,7.51,-43.5,29.312,0.049,2.74,1.2,1764.6,0.269
8/22/2023,12:50:57,0.0,BW5,1967.3,-0.014,1801.1,51.5,51.5,3.92,64.4,-0.019,0.91,1817.6,1181,7.51,-43.3,29.312,0.064,2.74,1.2,1766.6,0.284
8/22/2023,12:50:57,0.25,BW5,1970.6,-0.013,1804.2,51.1,51.1,3.89,64.4,-0.019,0.92,1820.7,1183,7.51,-43.1,29.311,0.07,2.74,1.2,1769.7,0.29
8/22/2023,12:50:57,0.5,BW5,1974.4,-0.013,1807.6,50.7,50.7,3.86,64.5,-0.018,0.92,1824.2,1186,7.5,-42.8,29.31,0.076,2.74,1.2,1773.2,0.296
8/22/2023,12:50:57,0.75,BW5,1979.0,-0.012,1811.9,47.2,47.2,3.59,64.5,-0.016,0.92,1828.5,1189,7.5,-42.6,29.31,0.09,2.74,1.2,1777.4,0.31
8/22/2023,12:50:58,0.0,BW5,1983.5,-0.011,1816.1,46.6,46.6,3.55,64.6,-0.015,0.92,1832.7,1191,7.5,-42.5,29.309,0.096,2.74,1.2,1781.6,0.316
8/22/2023,12:50:58,0.25,BW5,1987.8,-0.01,1820.0,46.3,46.3,3.52,64.6,-0.015,0.92,1836.6,1194,7.5,-42.3,29.309,0.1,2.74,1.2,1785.5,0.32
8/22/2023,12:50:58,0.5,BW5,1991.9,-0.009,1823.8,45.7,45.7,3.48,64.7,-0.013,0.93,1840.4,1196,7.49,-42.1,29.308,0.112,2.74,1.2,1789.3,0.332
8/22/2023,12:50:58,0.75,BW5,1993.8,-0.008,1825.5,45.1,45.1,3.44,64.7,-0.012,0.93,1842.2,1197,7.49,-41.9,29.307,0.117,2.74,1.2,1791.1,0.337
8/22/2023,12:50:59,0.0,BW5,1997.4,-0.008,1828.9,44.6,44.6,3.39,64.8,-0.011,0.93,1845.6,1200,7.49,-41.8,29.306,0.12,2.74,1.2,1794.5,0.34
8/22/2023,12:50:59,0.25,BW5,2000.6,-0.006,1831.8,44.1,44.1,3.35,64.8,-0.009,0.93,1848.6,1202,7.49,-41.7,29.305,0.129,2.74,1.2,1797.5,0.349
8/22/2023,12:50:59,0.5,BW5,2003.2,-0.005,1834.3,43.6,43.6,3.32,64.8,-0.007,0.93,1851.1,1203,7.48,-41.5,29.304,0.133,2.74,1.2,1800.0,0.353
8/22/2023,12:50:59,0.75,BW5,2006.0,-0.004,1836.9,43.1,43.1,3.28,64.9,-0.006,0.93,1853.7,1205,7.48,-41.4,29.303,0.135,2.74,1.2,1802.6,0.355
8/22/2023,12:51:00,0.0,BW5,2008.8,-0.003,1839.5,42.7,42.7,3.25,64.9,-0.004,0.93,1856.3,1207,7.48,-41.3,29.302,0.145,2.74,1.2,1805.1,0.365
8/22/2023,12:51:00,0.25,BW5,2011.6,-0.002,1842.1,42.4,42.4,3.23,65.0,-0.003,0.94,1858.9,1208,7.48,-41.2,29.3,0.15,2.74,1.2,1807.7,0.37
8/22/2023,12:51:00,0.5,BW5,2014.6,-0.001,1845.0,42.0,42.0,3.2,65.0,-0.001,0.94,1861.8,1210,7.47,-41.0,29.298,0.154,2.74,1.2,1810.6,0.374
8/22/2023,12:51:00,0.75,BW5,2016.1,0.0,1846.4,41.6,41.6,3.16,65.1,0.0,0.94,1863.2,1211,7.47,-40.9,29.294,0.158,2.74,1.2,1812.0,0.378
8/22/2023,12:51:01,0.0,BW5,2018.9,0.002,1849.1,41.6,41.6,3.16,65.1,0.003,0.94,1866.0,1213,7.47,-40.8,29.29,0.166,2.74,1.2,1814.8,0.386
8/22/2023,12:51:01,0.25,BW5,2021.6,0.003,1851.7,41.4,41.4,3.15,65.1,0.004,0.94,1868.5,1215,7.47,-40.6,29.286,0.168,2.74,1.2,1817.3,0.388
8/22/2023,12:51:01,0.5,BW5,2024.1,0.004,1854.2,41.2,41.2,3.14,65.2,0.005,0.94,1871.0,1216,7.46,-40.5,29.283,0.17,2.74,1.2,1819.8,0.39
8/22/2023,12:51:01,0.75,BW5,2026.5,0.006,1856.5,40.9,40.9,3.12,65.2,0.008,0.94,1873.4,1218,7.46,-40.4,29.28,0.177,2.74,1.2,1822.2,0.397
8/22/2023,12:51:02,0.0,BW5,2028.9,0.007,1858.8,40.7,40.7,3.1,65.3,0.009,0.94,1875.7,1219,7.46,-40.3,29.279,0.18,2.74,1.2,1824.5,0.4
8/22/2023,12:51:02,0.25,BW5,2146.1,0.008,1966.3,40.5,40.5,3.09,65.3,0.011,1.0,1984.1,1290,7.46,-40.1,29.276,0.183,2.74,1.2,1932.5,0.403
8/22/2023,12:51:02,0.5,BW5,2155.7,0.01,1975.2,40.3,40.3,3.07,65.4,0.014,1.01,1993.0,1295,7.46,-40.0,29.273,0.193,2.74,1.2,1941.4,0.413
8/22/2023,12:51:02,0.75,BW5,2165.3,0.011,1984.0,40.0,40.0,3.05,65.4,0.016,1.01,2002.0,1301,7.46,-39.9,29.27,0.196,2.74,1.2,1950.3,0.416
8/22/2023,12:51:03,0.0,BW5,2173.0,0.012,1991.2,39.8,39.8,3.03,65.5,0.017,1.01,2009.2,1306,7.45,-39.8,29.267,0.199,2.74,1.2,1957.5,0.419
8/22/2023,12:51:03,0.25,BW5,2205.2,0.014,2020.8,39.6,39.6,3.01,65.5,0.02,1.03,2039.1,1325,7.45,-39.7,29.265,0.208,2.74,1.2,1987.3,0.428
8/22/2023,12:51:03,0.5,BW5,2186.2,0.016,2003.5,39.4,39.4,3.0,65.6,0.022,1.02,2021.6,1314,7.45,-39.6,29.262,0.213,2.74,1.2,1969.9,0.433
8/22/2023,12:51:03,0.75,BW5,2164.3,0.017,1983.5,39.2,39.2,2.98,65.6,0.024,1.01,2001.4,1301,7.45,-39.5,29.26,0.214,2.74,1.2,1949.7,0.434
8/22/2023,12:51:04,0.0,BW5,2151.9,0.019,1972.3,39.0,39.0,2.97,65.7,0.027,1.0,1990.1,1294,7.45,-39.3,29.258,0.218,2.74,1.2,1938.5,0.438
8/22/2023,12:51:04,0.25,BW5,2141.7,0.02,1962.9,38.9,38.9,2.96,65.7,0.029,1.0,1980.6,1287,7.44,-39.3,29.257,0.22,2.74,1.2,1929.0,0.44
8/22/2023,12:51:04,0.5,BW5,2136.1,0.022,1957.9,38.7,38.7,2.95,65.8,0.031,1.0,1975.5,1284,7.44,-39.2,29.256,0.22,2.74,1.2,1923.9,0.44
8/22/2023,12:51:04,0.75,BW5,2135.2,0.023,1957.0,38.5,38.5,2.94,65.8,0.032,1.0,1974.7,1284,7.44,-39.1,29.255,0.219,2.74,1.2,1923.1,0.439
8/22/2023,12:51:05,0.0,BW5,2135.1,0.025,1957.0,38.4,38.4,2.92,65.9,0.036,1.0,1974.7,1284,7.44,-39.0,29.254,0.22,2.74,1.2,1923.1,0.44
8/22/2023,12:51:05,0.25,BW5,2135.9,0.027,1957.8,38.2,38.2,2.91,65.9,0.038,1.0,1975.4,1284,7.44,-38.9,29.253,0.221,2.74,1.2,1923.8,0.441
8/22/2023,12:51:05,0.5,BW5,2135.9,0.028,1957.8,38.0,38.0,2.9,66.0,0.039,1.0,1975.5,1284,7.44,-38.8,29.252,0.219,2.74,1.2,1923.9,0.439
8/22/2023,12:51:05,0.75,BW5,2136.0,0.03,1957.9,37.9,37.9,2.88,66.0,0.043,1.0,1975.6,1284,7.44,-38.7,29.251,0.22,2.74,1.2,1924.0,0.44
8/22/2023,12:51:06,0.0,BW5,2136.7,0.031,1958.6,34.6,34.6,2.64,66.0,0.044,1.0,1976.2,1285,7.43,-38.6,29.25,0.221,2.74,1.2,1924.6,0.441
8/22/2023,12:51:06,0.25,BW5,2137.8,0.033,1959.7,34.5,34.5,2.63,66.1,0.046,1.0,1977.3,1285,7.43,-38.5,29.249,0.219,2.74,1.2,1925.7,0.439
8/22/2023,12:51:06,0.5,BW5,2141.3,0.035,1963.0,34.3,34.3,2.61,66.1,0.05,1.0,1980.7,1287,7.43,-38.5,29.247,0.224,2.74,1.2,1929.1,0.444
8/22/2023,12:51:06,0.75,BW5,2146.8,0.036,1968.1,34.0,34.0,2.59,66.2,0.051,1.0,1985.8,1291,7.43,-38.4,29.245,0.224,2.74,1.2,1934.2,0.444
8/22/2023,12:51:07,0.0,BW5,2153.7,0.037,1974.5,33.8,33.8,2.57,66.2,0.053,1.01,1992.2,1295,7.43,-38.3,29.243,0.227,2.74,1.2,1940.6,0.447
8/22/2023,12:51:07,0.25,BW5,2156.8,0.039,1977.4,33.6,33.6,2.56,66.2,0.055,1.01,1995.2,1297,7.43,-38.2,29.241,0.229,2.74,1.2,1943.5,0.449
8/22/2023,12:51:07,0.5,BW5,2161.9,0.041,1982.1,33.3,33.3,2.54,66.3,0.059,1.01,1999.9,1300,7.43,-38.1,29.238,0.234,2.74,1.2,1948.2,0.454
8/22/2023,12:51:07,0.75,BW5,2165.5,0.043,1985.6,33.1,33.1,2.52,66.3,0.06,1.01,2003.4,1302,7.42,-38.1,29.235,0.235,2.74,1.2,1951.7,0.455
8/22/2023,12:51:08,0.0,BW5,2168.2,0.044,1988.1,32.9,32.9,2.51,66.4,0.062,1.01,2006.0,1304,7.42,-37.9,29.231,0.234,2.74,1.2,1954.3,0.454
8/22/2023,12:51:08,0.25,BW5,2170.1,0.046,1990.1,32.8,32.8,2.5,66.4,0.066,1.01,2007.9,1305,7.42,-37.9,29.23,0.236,2.74,1.2,1956.2,0.456
8/22/2023,12:51:08,0.5,BW5,2171.6,0.048,1991.6,32.6,32.6,2.48,66.5,0.068,1.02,2009.4,1306,7.42,-37.8,29.225,0.236,2.74,1.2,1957.7,0.456
8/22/2023,12:51:08,0.75,BW5,2172.7,0.049,1992.8,32.4,32.4,2.47,66.5,0.069,1.02,2010.7,1307,7.42,-37.8,29.221,0.235,2.74,1.2,1959.0,0.455
8/22/2023,12:51:09,0.0,BW5,2173.8,0.052,1994.0,32.2,32.2,2.45,66.5,0.073,1.02,2011.8,1308,7.42,-37.6,29.217,0.236,2.74,1.2,1960.1,0.456
8/22/2023,12:51:09,0.25,BW5,2174.2,0.053,1994.5,32.2,32.2,2.45,66.6,0.075,1.02,2012.3,1308,7.42,-37.6,29.213,0.236,2.74,1.2,1960.6,0.456
8/22/2023,12:51:09,0.5,BW5,2175.1,0.054,1995.4,32.1,32.1,2.45,66.6,0.077,1.02,2013.2,1309,7.42,-37.5,29.209,0.234,2.74,1.2,1961.5,0.454
8/22/2023,12:51:09,0.75,BW5,2175.9,0.057,1996.3,32.0,32.0,2.44,66.7,0.081,1.02,2014.1,1309,7.41,-37.5,29.205,0.235,2.74,1.2,1962.4,0.455
8/22/2023,12:51:10,0.0,BW5,2176.8,0.058,1997.2,31.9,31.9,2.43,66.7,0.082,1.02,2015.0,1310,7.41,-37.4,29.202,0.234,2.74,1.2,1963.3,0.454
8/22/2023,12:51:10,0.25,BW5,2177.6,0.059,1998.1,31.9,31.9,2.43,66.8,0.084,1.02,2015.8,1310,7.41,-37.3,29.201,0.232,2.74,1.2,1964.1,0.452
8/22/2023,12:51:10,0.5,BW5,2178.4,0.061,1998.9,31.8,31.8,2.42,66.8,0.086,1.02,2016.7,1311,7.41,-37.3,29.199,0.234,2.74,1.2,1965.0,0.454
8/22/2023,12:51:10,0.75,BW5,2179.3,0.063,1999.8,31.7,31.7,2.42,66.8,0.09,1.02,2017.6,1311,7.41,-37.2,29.197,0.235,2.74,1.2,1965.9,0.455
8/22/2023,12:51:11,0.0,BW5,2180.2,0.065,2000.7,31.6,31.6,2.41,66.8,0.091,1.02,2018.5,1312,7.41,-37.1,29.195,0.234,2.74,1.2,1966.8,0.454
8/22/2023,12:51:11,0.25,BW5,2181.0,0.066,2001.6,31.5,31.5,2.4,66.9,0.093,1.02,2019.3,1313,7.41,-37.1,29.192,0.235,2.74,1.2,1967.6,0.455
8/22/2023,12:51:11,0.5,BW5,2181.5,0.068,2002.0,31.5,31.5,2.4,66.9,0.097,1.02,2019.8,1313,7.41,-37.0,29.19,0.236,2.74,1.2,1968.1,0.456
8/22/2023,12:51:11,0.75,BW5,2182.4,0.07,2003.0,31.4,31.4,2.39,66.9,0.099,1.02,2020.8,1313,7.4,-36.9,29.188,0.236,2.74,1.2,1969.1,0.456
8/22/2023,12:51:12,0.0,BW5,2183.4,0.071,2004.0,31.3,31.3,2.39,67.0,0.101,1.02,2021.8,1314,7.4,-36.9,29.186,0.236,2.74,1.2,1970.1,0.456
8/22/2023,12:51:12,0.25,BW5,2184.5,0.074,2005.1,31.3,31.3,2.39,67.0,0.104,1.02,2022.9,1315,7.4,-36.8,29.184,0.236,2.74,1.2,1971.1,0.456
8/22/2023,12:51:12,0.5,BW5,2185.7,0.075,2006.3,31.2,31.2,2.38,67.1,0.106,1.02,2024.1,1316,7.4,-36.8,29.183,0.237,2.74,1.2,1972.3,0.457
8/22/2023,12:51:12,0.75,BW5,2187.0,0.076,2007.6,31.2,31.2,2.38,67.1,0.108,1.02,2025.3,1316,7.4,-36.7,29.18,0.235,2.74,1.2,1973.5,0.455
8/22/2023,12:51:13,0.0,BW5,2188.5,0.079,2009.0,31.1,31.1,2.37,67.1,0.112,1.02,2026.7,1317,7.4,-36.6,29.178,0.236,2.74,1.2,1974.9,0.456
8/22/2023,12:51:13,0.25,BW5,2190.0,0.08,2010.4,31.0,31.0,2.37,67.2,0.113,1.03,2028.2,1318,7.4,-36.6,29.177,0.236,2.74,1.2,1976.4,0.456
8/22/2023,12:51:13,0.5,BW5,2190.8,0.081,2011.2,31.0,31.0,2.36,67.2,0.115,1.03,2028.9,1319,7.4,-36.5,29.175,0.235,2.74,1.2,1977.1,0.455
8/22/2023,12:51:13,0.75,BW5,2192.4,0.083,2012.7,30.9,30.9,2.36,67.3,0.117,1.03,2030.5,1320,7.4,-36.4,29.174,0.236,2.74,1.2,1978.7,0.456
8/22/2023,12:51:14,0.0,BW5,2194.1,0.085,2014.3,30.9,30.9,2.35,67.3,0.121,1.03,2032.1,1321,7.4,-36.4,29.174,0.237,2.74,1.2,1980.3,0.457
8/22/2023,12:51:14,0.25,BW5,2195.9,0.086,2016.0,30.9,30.9,2.35,67.3,0.123,1.03,2033.8,1322,7.4,-36.4,29.173,0.235,2.74,1.2,1982.0,0.455
8/22/2023,12:51:14,0.5,BW5,2197.8,0.088,2017.8,30.8,30.8,2.35,67.4,0.124,1.03,2035.6,1323,7.39,-36.3,29.173,0.236,2.74,1.2,1983.8,0.456
8/22/2023,12:51:14,0.75,BW5,2199.8,0.09,2019.6,30.7,30.7,2.34,67.4,0.128,1.03,2037.4,1324,7.39,-36.2,29.173,0.237,2.74,1.2,1985.6,0.457
8/22/2023,12:51:15,0.0,BW5,2201.8,0.092,2021.4,30.7,30.7,2.34,67.5,0.13,1.03,2039.3,1326,7.39,-36.2,29.172,0.237,2.74,1.2,1987.5,0.457
8/22/2023,12:51:15,0.25,BW5,2203.9,0.093,2023.4,30.7,30.7,2.34,67.5,0.132,1.03,2041.2,1327,7.39,-36.2,29.172,0.237,2.74,1.2,1989.4,0.457
8/22/2023,12:51:15,0.5,BW5,2204.9,0.096,2024.3,30.6,30.6,2.33,67.6,0.135,1.03,2042.2,1327,7.39,-36.1,29.171,0.237,2.74,1.2,1990.4,0.457
8/22/2023,12:51:15,0.75,BW5,2207.0,0.097,2026.3,30.6,30.6,2.33,67.7,0.137,1.03,2044.2,1329,7.39,-36.0,29.171,0.238,2.74,1.2,1992.4,0.458
8/22/2023,12:51:16,0.0,BW5,2209.2,0.098,2028.3,30.5,30.5,2.33,67.8,0.139,1.03,2046.2,1330,7.39,-36.0,29.171,0.236,2.74,1.2,1994.4,0.456
8/22/2023,12:51:16,0.25,BW5,2211.3,0.101,2030.2,30.5,30.5,2.33,67.8,0.143,1.04,2048.1,1331,7.39,-36.0,29.17,0.237,2.74,1.2,1996.3,0.457
8/22/2023,12:51:16,0.5,BW5,2213.4,0.102,2032.2,30.4,30.4,2.32,67.9,0.145,1.04,2050.1,1333,7.39,-35.9,29.17,0.237,2.74,1.2,1998.3,0.457
8/22/2023,12:51:16,0.75,BW5,2215.4,0.103,2034.1,30.4,30.4,2.32,68.0,0.146,1.04,2052.0,1334,7.39,-35.8,29.17,0.236,2.74,1.2,2000.1,0.456
8/22/2023,12:51:17,0.0,BW5,2217.5,0.105,2035.9,30.4,30.4,2.32,68.1,0.148,1.04,2053.9,1335,7.39,-35.8,29.169,0.236,2.74,1.2,2002.0,0.456
8/22/2023,12:51:17,0.25,BW5,2219.5,0.107,2037.8,30.3,30.3,2.31,68.1,0.152,1.04,2055.8,1336,7.38,-35.7,29.169,0.238,2.74,1.2,2003.9,0.458
8/22/2023,12:51:17,0.5,BW5,2221.4,0.109,2039.7,30.3,30.3,2.31,68.2,0.154,1.04,2057.6,1337,7.38,-35.5,29.168,0.238,2.74,1.2,2005.7,0.458
8/22/2023,12:51:17,0.75,BW5,2222.4,0.11,2040.6,30.2,30.2,2.31,68.2,0.156,1.04,2058.6,1338,7.38,-35.4,29.167,0.238,2.74,1.2,2006.7,0.458
8/22/2023,12:51:18,0.0,BW5,2224.3,0.112,2042.4,30.2,30.2,2.3,68.3,0.159,1.04,2060.4,1339,7.38,-35.3,29.165,0.238,2.74,1.2,2008.5,0.458
8/22/2023,12:51:18,0.25,BW5,2226.3,0.114,2044.2,30.2,30.2,2.3,68.4,0.161,1.04,2062.2,1340,7.38,-35.2,29.164,0.238,2.74,1.2,2010.3,0.458
8/22/2023,12:51:18,0.5,BW5,2228.3,0.115,2046.1,30.1,30.1,2.3,68.4,0.163,1.04,2064.1,1342,7.37,-35.0,29.163,0.238,2.74,1.2,2012.2,0.458
8/22/2023,12:51:18,0.75,BW5,2232.1,0.118,2049.6,30.1,30.1,2.3,68.5,0.167,1.05,2067.7,1344,7.37,-34.9,29.163,0.239,2.74,1.2,2015.8,0.459
8/22/2023,12:51:19,0.0,BW5,2236.0,0.119,2053.3,30.1,30.1,2.29,68.6,0.169,1.05,2071.3,1346,7.37,-34.8,29.161,0.239,2.74,1.2,2019.4,0.459
8/22/2023,12:51:19,0.25,BW5,2239.6,0.12,2056.7,30.0,30.0,2.29,68.6,0.17,1.05,2074.8,1349,7.37,-34.7,29.16,0.237,2.74,1.2,2022.9,0.457
8/22/2023,12:51:19,0.5,BW5,2243.0,0.123,2059.8,30.0,30.0,2.29,68.7,0.174,1.05,2078.0,1351,7.36,-34.5,29.159,0.237,2.74,1.2,2026.1,0.457
8/22/2023,12:51:19,0.75,BW5,2246.2,0.124,2062.8,29.9,29.9,2.28,68.8,0.176,1.05,2081.0,1353,7.36,-34.4,29.158,0.238,2.74,1.2,2029.0,0.458
8/22/2023,12:51:20,0.0,BW5,2247.9,0.125,2064.4,29.9,29.9,2.28,68.8,0.178,1.05,2082.5,1354,7.36,-34.4,29.156,0.237,2.74,1.2,2030.5,0.457
8/22/2023,12:51:20,0.25,BW5,2250.9,0.127,2067.2,29.9,29.9,2.28,68.9,0.18,1.06,2085.4,1355,7.36,-34.3,29.155,0.237,2.74,1.2,2033.4,0.457
8/22/2023,12:51:20,0.5,BW5,2254.1,0.129,2070.2,29.8,29.8,2.28,68.9,0.183,1.06,2088.4,1357,7.36,-34.1,29.155,0.239,2.74,1.2,2036.4,0.459
8/22/2023,12:51:20,0.75,BW5,2257.5,0.131,2073.3,29.8,29.8,2.27,69.0,0.185,1.06,2091.5,1360,7.36,-34.0,29.154,0.238,2.74,1.2,2039.5,0.458
8/22/2023,12:51:21,0.0,BW5,2261.0,0.132,2076.6,29.8,29.8,2.27,69.1,0.187,1.06,2094.8,1362,7.36,-34.0,29.153,0.237,2.74,1.2,2042.8,0.457
8/22/2023,12:51:21,0.25,BW5,2264.6,0.135,2080.0,29.7,29.7,2.27,69.1,0.191,1.06,2098.2,1364,7.35,-33.9,29.151,0.238,2.74,1.2,2046.2,0.458
8/22/2023,12:51:21,0.5,BW5,2268.3,0.136,2083.4,29.7,29.7,2.26,69.2,0.192,1.06,2101.7,1366,7.35,-33.7,29.15,0.238,2.74,1.2,2049.7,0.458
8/22/2023,12:51:21,0.75,BW5,2272.1,0.137,2087.0,29.6,29.6,2.26,69.3,0.194,1.07,2105.3,1368,7.35,-33.7,29.148,0.236,2.74,1.2,2053.3,0.456
8/22/2023,12:51:22,0.0,BW5,2274.0,0.14,2088.8,29.6,29.6,2.26,69.3,0.198,1.07,2107.1,1370,7.35,-33.6,29.146,0.238,2.74,1.2,2055.0,0.458
8/22/2023,12:51:22,0.25,BW5,2277.9,0.141,2092.5,29.6,29.6,2.26,69.4,0.2,1.07,2110.8,1372,7.35,-33.5,29.144,0.239,2.74,1.2,2058.7,0.459
8/22/2023,12:51:22,0.5,BW5,2281.9,0.142,2096.2,29.5,29.5,2.25,69.4,0.202,1.07,2114.6,1374,7.35,-33.4,29.142,0.238,2.74,1.2,2062.5,0.458
8/22/2023,12:51:22,0.75,BW5,2285.9,0.145,2100.0,29.4,29.4,2.24,69.5,0.205,1.07,2118.4,1377,7.34,-33.3,29.14,0.237,2.74,1.2,2066.3,0.457
8/22/2023,12:51:23,0.0,BW5,2290.0,0.146,2103.8,29.3,29.3,2.24,69.5,0.207,1.08,2122.2,1379,7.34,-33.3,29.138,0.237,2.74,1.2,2070.1,0.457
8/22/2023,12:51:23,0.25,BW5,2294.0,0.147,2107.6,29.2,29.2,2.23,69.6,0.209,1.08,2126.1,1382,7.34,-33.2,29.136,0.236,2.74,1.2,2074.0,0.456
8/22/2023,12:51:23,0.5,BW5,2298.1,0.15,2111.5,29.2,29.2,2.22,69.6,0.213,1.08,2129.9,1384,7.34,-33.1,29.133,0.236,2.74,1.2,2077.8,0.456
8/22/2023,12:51:23,0.75,BW5,2302.2,0.151,2115.4,29.1,29.1,2.22,69.7,0.214,1.08,2133.8,1387,7.34,-33.0,29.13,0.237,2.74,1.2,2081.7,0.457
8/22/2023,12:51:24,0.0,BW5,2304.2,0.152,2117.3,29.0,29.0,2.22,69.8,0.216,1.08,2135.8,1388,7.34,-33.0,29.127,0.235,2.74,1.2,2083.6,0.455
8/22/2023,12:51:24,0.25,BW5,2308.3,0.154,2121.2,29.0,29.0,2.21,69.8,0.218,1.08,2139.7,1391,7.34,-32.9,29.124,0.236,2.74,1.2,2087.5,0.456
8/22/2023,12:51:24,0.5,BW5,2312.4,0.156,2125.1,28.9,28.9,2.2,69.8,0.222,1.09,2143.6,1393,7.34,-32.8,29.122,0.237,2.74,1.2,2091.4,0.457
8/22/2023,12:51:24,0.75,BW5,2316.5,0.158,2128.9,28.8,28.8,2.2,69.9,0.224,1.09,2147.4,1396,7.34,-32.8,29.119,0.238,2.74,1.2,2095.2,0.458
8/22/2023,12:51:25,0.0,BW5,2320.5,0.159,2132.7,28.7,28.7,2.19,70.0,0.225,1.09,2151.3,1398,7.33,-32.7,29.118,0.236,2.73,1.2,2099.1,0.456
8/22/2023,12:51:25,0.25,BW5,2324.5,0.162,2136.5,28.6,28.6,2.19,70.0,0.229,1.09,2155.1,1401,7.33,-32.6,29.116,0.237,2.73,1.2,2102.9,0.457
8/22/2023,12:51:25,0.5,BW5,2328.6,0.163,2140.3,28.6,28.6,2.18,70.1,0.231,1.09,2159.0,1403,7.33,-32.6,29.114,0.238,2.73,1.2,2106.8,0.458
8/22/2023,12:51:25,0.75,BW5,2332.6,0.164,2144.1,28.5,28.5,2.17,70.1,0.233,1.1,2162.7,1406,7.33,-32.5,29.112,0.236,2.73,1.2,2110.4,0.456
8/22/2023,12:51:26,0.0,BW5,2334.5,0.167,2145.9,28.5,28.5,2.17,70.1,0.236,1.1,2164.6,1407,7.33,-32.5,29.109,0.237,2.73,1.2,2112.3,0.457
8/22/2023,12:51:26,0.25,BW5,2338.5,0.168,2149.7,28.4,28.4,2.17,70.2,0.238,1.1,2168.4,1409,7.33,-32.4,29.107,0.238,2.73,1.2,2116.1,0.458
8/22/2023,12:51:26,0.5,BW5,2342.4,0.169,2153.4,28.3,28.3,2.16,70.3,0.24,1.1,2172.1,1412,7.33,-32.3,29.105,0.237,2.73,1.2,2119.8,0.457
8/22/2023,12:51:26,0.75,BW5,2346.2,0.172,2157.0,28.2,28.2,2.16,70.3,0.244,1.1,2175.7,1414,7.33,-32.3,29.103,0.236,2.73,1.2,2123.4,0.456
8/22/2023,12:51:27,0.0,BW5,2350.0,0.173,2160.5,28.2,28.2,2.15,70.3,0.245,1.11,2179.2,1417,7.33,-32.2,29.101,0.237,2.73,1.2,2126.9,0.457
8/22/2023,12:51:27,0.25,BW5,2353.6,0.174,2164.0,28.1,28.1,2.14,70.4,0.247,1.11,2182.7,1419,7.33,-32.2,29.1,0.236,2.73,1.2,2130.4,0.456
8/22/2023,12:51:27,0.5,BW5,2357.2,0.176,2167.4,28.0,28.0,2.14,70.4,0.249,1.11,2186.1,1421,7.32,-32.1,29.097,0.237,2.73,1.2,2133.8,0.457
8/22/2023,12:51:27,0.75,BW5,2360.8,0.178,2170.7,28.0,28.0,2.13,70.4,0.253,1.11,2189.5,1423,7.32,-32.1,29.095,0.239,2.73,1.2,2137.2,0.459
