ID,Zone,mean,std,cv,min,max,median,25%,50%,75%,iqr,count,outliers
LRS65D_YSI_20220812,MZ,17584.70544622341,12154.556679910525,69.12004706067401,1663.9,45619.05,17968.9,6109.0,17968.9,24133.3,18024.3,4497,0
LRS65D_YSI_20220812,SL,49827.38215342662,1971.9696652391233,3.9576023865093046,45651.5,52218.529032258055,50384.225000000006,48017.475000000006,50384.225000000006,51754.175,3736.699999999997,674,0
LRS69D_YSI_20230818,MZ,22193.05482163741,14758.301160550107,66.499638193843,1723.1,49273.7,17899.4,10347.975,17899.4,36430.475000000006,26082.500000000007,2807,0
LRS69D_YSI_20230818,SL,52254.526995680375,1306.9434606141886,2.501110498468826,49285.100000000006,53710.8,52588.825,51174.05,52588.825,53525.075,2351.024999999994,896,0
LRS70D_YSI_20230822,MZ,29825.115665456742,22520.57876883295,75.50877261111896,835.7,49625.3,47018.5,1108.4,47018.5,49020.350000000006,47911.950000000004,551,0
LRS70D_YSI_20230822,SL,52754.47070152977,1245.2301730581705,2.3604258681758727,49628.5,54293.63333333334,52901.2,51653.75,52901.2,53964.675,2310.925000000003,2423,0
LRS75D_YSI_20230819,MZ,30378.053348965845,17035.43742514463,56.07810753852852,1087.85,50782.8,37218.024999999994,15798.25,37218.024999999994,46660.325,30862.074999999997,1386,0
LRS75D_YSI_20230819,SL,53449.56558854415,875.0422695487381,1.637136354455771,50805.3,54444.2,53868.85,52879.3125,53868.85,54151.225,1271.9124999999985,2084,18
LRS79D_YSI_20230827,MZ,21383.225484263236,12423.357350909891,58.09861267212813,1948.0,45431.0,18650.25,12284.125,18650.25,30344.324999999997,18060.199999999997,2330,0
LRS79D_YSI_20230827,SL,49964.27220503689,2520.429461154467,5.0444634734424945,45457.3,53236.5,50740.5,47171.875,50740.5,52326.86666666667,5154.991666666669,1000,0
LRS81D_YSI_20230823,MZ,30346.57422747748,16394.985387338194,54.025819403671804,1369.5,46958.1,34772.9,17265.649999999998,34772.9,46867.875,29602.225000000002,1480,0
LRS81D_YSI_20230823,SL,50905.803537892425,1943.147945403619,3.8171442357396645,46940.5,53631.175,50885.3,50795.600000000006,50885.3,52158.6,1362.9999999999927,2274,384
LRS89D_YSI_20230825,MZ,14308.6552246774,9731.837184788288,68.01363952081458,2014.4,42653.9,13755.8,5606.15,13755.8,18514.175000000003,12908.025000000003,2502,110
LRS89D_YSI_20230825,SL,47321.96898261999,2309.2010674756666,4.879765396752131,42700.2,51438.74146341463,47112.3,45567.6,47112.3,49307.5,3739.9000000000015,409,0
LRS90D_YSI_20230827,MZ,17770.023131106318,13098.593324753003,73.71174043000538,793.5,48509.6,13831.7,9884.0,13831.7,23237.35,13353.349999999999,2207,178
LRS90D_YSI_20230827,SL,51592.235213518405,1065.9687411102936,2.066141807383806,48549.6,52632.1,52002.95,51064.25,52002.95,52449.35,1385.0999999999985,314,11
